City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
153,Grindavik,IS,63.84,-22.43,42.8,75,0,25.28,clear sky
154,Guerrero Negro,MX,27.98,-114.06,67.46,80,0,16.08,clear sky
155,College,US,64.86,-147.8,30.99,73,75,1.79,broken clouds
156,Luderitz,NA,-26.65,15.16,61.9,67,40,16.28,scattered clouds
157,Codrington,AU,-38.27,141.97,51.91,64,96,20.89,overcast clouds
158,Fortuna,US,40.6,-124.16,54.0,81,75,10.29,broken clouds
159,Skagen,DK,57.72,10.58,55.0,90,100,21.99,overcast clouds
160,Isangel,VU,-19.55,169.27,80.6,74,75,6.93,broken clouds
161,Revda,RU,56.8,59.93,35.6,100,90,2.24,overcast clouds
162,Carnarvon,AU,-24.87,113.63,73.4,83,90,17.22,overcast clouds
163,Maniitsoq,GL,65.42,-52.9,23.18,86,0,9.19,clear sky
164,Torbay,CA,47.67,-52.73,50.0,100,90,26.4,light rain
165,Shikhazany,RU,55.56,47.39,41.0,86,40,4.47,scattered clouds
166,San Pedro De Ycuamandiyu,PY,-24.09,-57.08,80.33,66,27,3.71,scattered clouds
167,Bagnes,CH,46.08,7.22,46.4,87,0,5.82,clear sky
168,Qazigund,IN,33.63,75.15,44.24,58,0,1.07,clear sky
169,Warkworth,NZ,-36.4,174.67,71.01,73,18,10.85,few clouds
170,Vardo,NO,70.37,31.11,39.15,74,99,18.66,overcast clouds
171,Leshukonskoye,RU,64.9,45.76,24.58,98,94,4.36,overcast clouds
172,Altamira,BR,-3.2,-52.21,82.15,54,95,1.7,overcast clouds
173,Saint Anthony,US,45.02,-93.22,30.2,54,1,3.36,clear sky
174,Avarua,CK,-21.21,-159.78,75.2,73,64,13.87,drizzle
175,Naze,JP,28.37,129.48,75.2,50,20,10.29,few clouds
176,Rocha,UY,-34.48,-54.33,58.86,97,23,3.62,few clouds
177,Airai,TL,-8.93,125.41,77.22,56,79,0.85,broken clouds
178,Belmonte,BR,-15.86,-38.88,77.0,83,20,9.17,light rain
179,Namibe,AO,-15.2,12.15,67.71,82,82,4.25,broken clouds
180,Port Elizabeth,ZA,-33.92,25.57,60.8,93,0,4.7,clear sky
181,Honiara,SB,-9.43,159.95,87.8,84,20,5.82,few clouds
182,Qui Nhon,VN,13.77,109.23,78.71,77,100,7.58,overcast clouds
183,Bambous Virieux,MU,-20.34,57.76,69.8,94,75,16.11,light intensity shower rain
184,Lagoa,PT,39.05,-27.98,65.21,73,79,18.72,broken clouds
185,Alofi,NU,-19.06,-169.92,78.8,78,82,16.11,broken clouds
186,Katsuura,JP,35.13,140.3,64.99,48,75,16.11,broken clouds
187,Sokoto,NG,13.06,5.24,79.83,19,83,8.66,broken clouds
188,Kholtoson,RU,50.3,103.31,33.01,88,4,2.01,clear sky
189,Saskylakh,RU,71.92,114.08,12.31,94,100,19.22,overcast clouds
190,Porto Santo,PT,33.07,-16.34,62.6,77,20,3.36,few clouds
191,Biak,ID,-0.91,122.88,84.04,64,100,2.71,overcast clouds
192,Bontang,ID,0.13,117.5,80.22,79,100,3.0,overcast clouds
193,Menemen,TR,38.61,27.07,59.0,93,0,1.12,mist
194,Clyde River,CA,70.47,-68.59,19.4,79,90,8.05,overcast clouds
195,Omboue,GA,-1.57,9.26,77.09,85,100,8.12,overcast clouds
196,Arraial Do Cabo,BR,-22.97,-42.03,70.39,94,100,21.52,moderate rain
197,Sitka,US,57.05,-135.33,42.8,38,1,2.95,clear sky
198,Narsaq,GL,60.92,-46.05,26.6,68,100,1.12,overcast clouds
199,Ilulissat,GL,69.22,-51.1,19.4,57,10,13.87,clear sky
200,Pangody,RU,65.85,74.49,11.77,95,0,7.9,clear sky
201,Dawlatabad,AF,36.41,64.91,39.38,72,0,3.18,clear sky
202,Zhigansk,RU,66.77,123.37,20.39,96,100,21.18,light snow
203,Pekalongan,ID,-6.89,109.68,73.99,71,99,2.68,light rain
204,Carahue,CL,-38.7,-73.17,51.8,76,0,4.7,clear sky
205,Kodiak,US,57.79,-152.41,46.4,87,90,8.05,overcast clouds
206,Amapa,BR,1.0,-52.0,73.13,90,53,1.48,light rain
207,Geraldton,AU,-28.77,114.6,86.0,17,0,20.8,clear sky
208,Eldama Ravine,KE,0.05,35.73,56.07,85,96,2.06,overcast clouds
209,Gigmoto,PH,13.78,124.39,83.39,80,100,14.81,heavy intensity rain
210,Tara,RU,56.89,74.37,26.04,97,100,16.04,light snow
211,Olafsvik,IS,64.89,-23.71,41.4,79,100,40.31,overcast clouds
212,Shimoda,JP,34.67,138.95,62.6,63,75,13.87,broken clouds
213,Casian,PH,11.04,119.71,81.55,81,100,15.28,moderate rain
214,Saint-Felicien,CA,48.65,-72.45,33.8,64,90,9.17,overcast clouds
215,Hyeres,FR,43.12,6.12,55.99,87,0,4.7,clear sky
216,Xingyi,CN,24.19,102.82,57.99,81,45,3.09,scattered clouds
217,Bowen,AU,-20.02,148.23,84.2,62,75,6.93,broken clouds
218,Bengkulu,ID,-3.8,102.27,80.65,74,100,2.93,overcast clouds
219,Udala,ES,43.08,-2.51,57.0,76,18,12.37,few clouds
220,Provideniya,RU,64.38,-173.3,34.95,86,93,11.45,overcast clouds
221,Athabasca,CA,54.72,-113.29,17.89,89,25,7.34,scattered clouds
222,Leninsk,RU,48.71,45.2,53.6,81,0,6.71,clear sky
223,Cabo San Lucas,MX,22.89,-109.91,84.2,58,5,8.05,clear sky
224,Bethel,US,41.37,-73.41,48.99,75,15,1.99,few clouds
225,Hay River,CA,60.82,-115.8,26.6,73,40,2.24,scattered clouds
226,Antofagasta,CL,-23.65,-70.4,59.0,82,90,11.41,overcast clouds
227,Manadhoo,MV,5.77,73.38,82.49,75,100,10.18,moderate rain
228,Dingle,PH,11.0,122.67,81.43,79,100,3.36,overcast clouds
229,Steamboat Springs,US,40.48,-106.83,48.2,34,75,5.79,broken clouds
230,Akhmeta,GE,42.03,45.21,50.0,87,0,8.05,clear sky
231,Vila Velha,BR,-20.33,-40.29,71.6,94,40,12.17,moderate rain
232,Castro,BR,-24.79,-50.01,63.39,90,100,3.6,light rain
233,Mayumba,GA,-3.43,10.66,76.75,88,100,7.11,overcast clouds
234,Turochak,RU,52.26,87.12,20.01,94,0,2.62,clear sky
235,Gerash,IR,27.67,54.14,57.2,35,0,2.91,clear sky
236,Mantua,IT,45.17,10.78,52.0,95,0,1.99,clear sky
237,Yatou,CN,37.15,122.38,57.81,37,100,5.35,overcast clouds
238,Abdanan,IR,32.99,47.42,58.06,33,0,4.29,clear sky
239,Puro,PH,12.48,123.38,82.38,80,100,8.79,heavy intensity rain
