City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
458,Cockburn Town,TC,83.66,light rain,21.46,-71.14,Osprey Beach Hotel
462,Bambanglipuro,ID,81.66,light rain,-7.95,110.28,Puri Brata
463,Palasa,IN,75.16,overcast clouds,18.77,84.42,Malla Krishana apartment
469,Diu,IN,78.58,few clouds,20.71,70.98,Hotel Relax Inn
479,Corozal,CO,75.22,overcast clouds,9.32,-75.29,Bell-a Makeup store
482,Lamu,KE,78.8,haze,-2.27,40.9,Lamu House
484,Kavieng,PG,84.33,light rain,-2.57,150.8,Nusa Island Retreat
491,Dinagat,PH,83.05,light rain,9.96,125.59,Ocean Front Homestay
501,Bathsheba,BB,82.4,scattered clouds,13.22,-59.52,Atlantis Hotel
508,Doha,QA,77.0,clear sky,25.29,51.53,Doha Marriott Hotel
509,Berbera,SO,81.41,broken clouds,10.44,45.01,Damal Hotel
513,Puerto Escondido,MX,84.2,overcast clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
514,Bandiagara,ML,75.2,clear sky,14.35,-3.61,Hotel de la Falaise
515,Mitsamiouli,KM,78.31,clear sky,-11.38,43.28,Foyer ADM
518,Pedernales,DO,81.23,overcast clouds,18.04,-71.74,Hotel Costa Marina
520,Morondava,MG,75.36,overcast clouds,-20.28,44.28,La Case Bambou
521,Seminole,US,77.0,clear sky,28.71,-81.21,Ono Hot Dog Cart and Catering
537,Meadow Lake,US,75.2,broken clouds,34.8,-106.54,JKL Inc. R.V Park and Storage
539,Mancio Lima,BR,78.94,clear sky,-7.61,-72.9,Hotel e Distribuidora Voyage
545,Daru,PG,83.5,overcast clouds,-9.08,143.21,New century hotel
547,Diffa,NE,80.4,broken clouds,13.32,12.61,ProDAF/Diffa
554,Harper,LR,77.41,clear sky,4.38,-7.72,Screensaver
557,Morant Bay,JM,84.2,broken clouds,17.88,-76.41,Whispering Bamboo Cove Resort
564,Tulagi,SB,87.8,few clouds,-9.1,160.15,Raiders Hotel & Dive
567,Neiafu,TO,77.0,overcast clouds,-18.65,-173.98,Mystic Sands
574,Senador Pompeu,BR,79.63,light rain,-5.59,-39.37,Hotel Central
578,Nyaunglebin,MM,76.69,overcast clouds,17.95,96.73,Royal Motel
581,Seybaplaya,MX,84.2,broken clouds,19.65,-90.67,sala de fiesta san Rafael
582,Samarinda,ID,83.23,overcast clouds,-0.5,117.15,Aston Samarinda Hotel & Convention Center
599,Touros,BR,77.0,scattered clouds,-5.2,-35.46,INN NEW HORIZON
606,Umm Lajj,SA,82.2,clear sky,25.02,37.27,Moon light Furnished Units
620,Sao Jose Da Coroa Grande,BR,76.86,few clouds,-8.9,-35.15,Crôa Mares Hotel
621,Manjeshwar,IN,75.2,mist,12.72,74.89,THE NOUSHA VILLAGE
