City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
94,Avarua,CK,2020-10-23 18:00:34,-21.21,-159.78,73.4,78,99,18.34
95,Sao Francisco Do Sul,BR,2020-10-23 18:00:36,-26.24,-48.64,75.99,73,83,5.01
96,Aksaray,TR,2020-10-23 18:00:37,38.37,34.03,64.4,31,40,3.36
97,Luderitz,NA,2020-10-23 17:58:50,-26.65,15.16,60.96,79,3,4.34
98,Husavik,IS,2020-10-23 18:00:38,66.04,-17.34,42.8,70,75,5.82
99,Naryan-Mar,RU,2020-10-23 18:00:40,67.67,53.09,20.84,95,76,9.08
100,Sweetwater,US,2020-10-23 18:00:26,25.76,-80.37,87.8,55,40,13.87
101,Comodoro Rivadavia,AR,2020-10-23 18:00:42,-45.87,-67.5,68.0,42,0,5.82
102,Hami,CN,2020-10-23 18:00:43,42.8,93.45,45.64,46,2,2.17
103,Portland,US,2020-10-23 17:58:40,45.52,-122.68,46.0,70,90,9.17
104,Jamestown,US,2020-10-23 18:00:37,42.1,-79.24,73.4,56,1,14.99
105,Grindavik,IS,2020-10-23 18:00:44,63.84,-22.43,44.6,87,75,19.46
106,Mataura,NZ,2020-10-23 18:00:44,-46.19,168.86,45.63,86,79,4.23
107,Qesarya,IL,2020-10-23 18:00:45,32.52,34.9,77.0,73,0,5.82
108,Buraydah,SA,2020-10-23 18:00:06,26.33,43.98,77.0,23,0,9.17
109,Alice Springs,AU,2020-10-23 17:57:33,-23.7,133.88,64.4,55,0,5.82
110,Banda,IN,2020-10-23 18:00:47,25.48,80.33,76.28,29,0,1.9
111,Amahai,ID,2020-10-23 18:00:48,-3.33,128.92,78.66,86,46,2.01
112,Razdolnoye,RU,2020-10-23 18:00:49,43.55,131.92,32.0,85,5,6.71
113,Cedar City,US,2020-10-23 18:00:50,37.68,-113.06,41.0,30,1,3.38
114,Praia,CV,2020-10-23 18:00:50,14.92,-23.51,84.2,66,20,19.46
115,Evensk,RU,2020-10-23 18:00:50,61.95,159.23,31.37,93,84,5.5
116,Surt,LY,2020-10-23 18:00:51,31.21,16.59,70.75,60,0,8.81
117,Vestmanna,FO,2020-10-23 18:00:53,62.16,-7.17,46.4,93,82,9.17
118,Touros,BR,2020-10-23 18:00:54,-5.2,-35.46,84.2,70,75,17.22
119,Salinas,US,2020-10-23 18:00:54,36.68,-121.66,66.0,72,40,5.82
120,Ilulissat,GL,2020-10-23 18:00:56,69.22,-51.1,23.0,67,75,4.7
121,Weatherford,US,2020-10-23 18:00:56,32.76,-97.8,48.99,89,99,5.99
122,Malinyi,TZ,2020-10-23 18:00:57,-8.93,36.13,81.16,45,2,3.04
123,Tual,ID,2020-10-23 18:00:58,-5.67,132.75,82.04,82,44,10.16
124,Mayumba,GA,2020-10-23 18:00:58,-3.43,10.66,77.49,86,100,9.28
125,Jumla,NP,2020-10-23 18:01:00,29.27,82.18,47.01,64,26,3.89
126,Santiago Del Estero,AR,2020-10-23 17:58:48,-27.8,-64.26,81.77,57,93,8.9
127,Dali,CN,2020-10-23 18:01:01,25.7,100.18,49.48,86,100,1.36
128,Aklavik,CA,2020-10-23 18:01:01,68.22,-135.01,28.4,92,90,3.36
129,Oksfjord,NO,2020-10-23 18:01:02,70.24,22.35,39.2,87,75,17.22
130,Christchurch,NZ,2020-10-23 17:57:19,-43.53,172.63,51.8,87,40,3.36
131,Moose Factory,CA,2020-10-23 18:00:13,51.26,-80.61,35.6,78,90,5.82
132,Hobart,AU,2020-10-23 18:01:06,-42.88,147.33,53.01,93,90,2.48
133,Wonthaggi,AU,2020-10-23 18:01:06,-38.6,145.59,60.01,95,100,14.2
134,Nuuk,GL,2020-10-23 18:01:06,64.18,-51.72,30.2,68,75,9.17
135,Harper,LR,2020-10-23 18:01:06,4.38,-7.72,78.78,85,84,6.17
136,Atuona,PF,2020-10-23 18:01:07,-9.8,-139.03,77.54,78,22,20.62
137,Lata,PT,2020-10-23 18:01:07,40.16,-8.33,63.0,68,43,4.0
138,Riverton,US,2020-10-23 18:01:08,40.52,-111.94,46.0,48,1,2.44
139,Tuktoyaktuk,CA,2020-10-23 18:01:09,69.45,-133.04,23.0,92,75,12.75
140,Luanda,AO,2020-10-23 18:01:10,-8.84,13.23,78.8,74,40,13.87
141,Klaksvik,FO,2020-10-23 18:01:10,62.23,-6.59,46.4,93,99,9.17
142,Senanga,ZM,2020-10-23 18:01:11,-16.12,23.27,81.41,19,0,5.75
143,Mahebourg,MU,2020-10-23 18:01:11,-20.41,57.7,73.4,73,20,8.05
144,Banjar,ID,2020-10-23 18:01:11,-8.19,114.97,78.8,83,20,3.36
145,Shelburne,CA,2020-10-23 18:01:12,44.08,-80.2,75.99,64,20,19.46
146,Dubbo,AU,2020-10-23 18:01:12,-32.25,148.62,64.4,88,90,3.36
147,Neuquen,AR,2020-10-23 18:01:12,-38.95,-68.06,75.2,53,0,5.82
148,Asyut,EG,2020-10-23 18:01:13,27.18,31.18,84.2,39,0,10.29
149,Saint Anthony,US,2020-10-23 17:58:51,45.02,-93.22,36.0,86,90,12.75
150,Hilo,US,2020-10-23 17:58:46,19.73,-155.09,77.0,73,1,4.7
151,Cidreira,BR,2020-10-23 18:01:15,-30.18,-50.21,69.84,84,100,15.97
152,Saint-Francois,FR,2020-10-23 17:57:32,46.42,3.91,53.6,93,0,6.78
153,Kalmunai,LK,2020-10-23 18:01:17,7.42,81.82,80.33,80,30,8.39
154,Saldanha,ZA,2020-10-23 18:01:17,-33.01,17.94,64.4,72,23,4.7
155,The Valley,AI,2020-10-23 17:56:19,18.22,-63.06,89.6,94,20,16.11
156,Tobermory,CA,2020-10-23 17:58:37,45.25,-81.67,46.0,94,100,15.46
157,Kuah,MY,2020-10-23 18:01:18,6.33,99.84,78.8,88,20,2.24
158,Lebu,CL,2020-10-23 18:01:18,-37.62,-73.65,56.01,66,91,7.49
159,Esperance,AU,2020-10-23 18:00:37,-33.87,121.9,55.4,93,90,3.36
160,Adrar,MR,2020-10-23 17:57:12,20.5,-10.07,93.02,12,20,1.19
161,Itarema,BR,2020-10-23 18:01:19,-2.92,-39.92,85.66,61,48,18.7
162,Kupang,ID,2020-10-23 18:01:06,-10.17,123.58,79.14,81,77,5.01
163,Coahuayana,MX,2020-10-23 18:01:20,18.73,-103.68,82.4,74,75,3.49
164,Soskovo,RU,2020-10-23 18:01:20,52.75,35.38,54.54,80,100,12.77
165,Narva-Joesuu,EE,2020-10-23 18:01:21,59.46,28.04,47.86,78,88,18.5
166,Chapais,CA,2020-10-23 18:01:21,49.78,-74.85,32.0,100,90,11.41
167,Salalah,OM,2020-10-23 18:01:22,17.02,54.09,80.6,39,0,6.93
168,Florianopolis,BR,2020-10-23 17:58:29,-27.61,-48.5,78.01,69,40,16.11
169,Portovelo,EC,2020-10-23 18:01:22,-3.72,-79.62,82.4,39,75,16.11
170,Saint George,US,2020-10-23 17:59:28,37.1,-113.58,55.4,22,1,2.46
171,Dingle,PH,2020-10-23 18:01:24,11.0,122.67,76.19,91,100,5.73
172,Vanavara,RU,2020-10-23 18:01:24,60.34,102.28,26.96,98,84,5.14
173,Jacksonville Beach,US,2020-10-23 18:01:01,30.29,-81.39,84.0,69,75,6.93
174,Tautira,PF,2020-10-23 18:01:25,-17.73,-149.15,80.6,69,20,10.29
175,Cabedelo,BR,2020-10-23 17:57:41,-6.98,-34.83,86.0,66,75,17.22
176,Pilani,IN,2020-10-23 18:01:25,28.37,75.6,72.09,22,0,2.46
177,Severnyy,RU,2020-10-23 18:01:26,50.68,36.55,59.0,67,0,4.47
178,Phalombe,MW,2020-10-23 18:01:26,-15.81,35.65,73.17,53,8,6.02
179,Yellowknife,CA,2020-10-23 18:00:48,62.46,-114.35,25.0,92,40,6.93
180,Bowen,AU,2020-10-23 18:01:27,-20.02,148.23,71.6,88,40,3.36
181,Chokurdakh,RU,2020-10-23 18:01:27,70.63,147.92,6.89,92,50,6.29
182,Chernyshevskiy,RU,2020-10-23 18:01:27,63.01,112.47,21.31,96,45,7.63
183,Chunskiy,RU,2020-10-23 18:01:27,56.08,99.63,37.83,88,99,3.27
184,Myitkyina,MM,2020-10-23 18:01:29,25.38,97.4,67.95,96,100,2.24
185,Anderson,US,2020-10-23 18:01:26,34.53,-82.65,79.0,57,20,4.7
186,Windhoek,NA,2020-10-23 18:01:30,-22.56,17.08,87.8,11,100,6.93
187,Hay River,CA,2020-10-23 18:01:31,60.82,-115.8,21.2,100,75,11.41
188,Biak,ID,2020-10-23 18:01:31,-0.91,122.88,77.02,82,8,0.45
189,Faya,SA,2020-10-23 18:01:31,18.39,42.45,69.8,18,0,6.93
190,Walla Walla,US,2020-10-23 17:57:23,46.06,-118.34,48.0,60,1,4.7
191,Isangel,VU,2020-10-23 18:01:32,-19.55,169.27,74.7,84,93,9.66
192,East London,ZA,2020-10-23 18:01:32,-33.02,27.91,69.8,88,0,9.17
193,Salina Cruz,MX,2020-10-23 18:00:20,16.17,-95.2,92.16,43,44,1.5
194,Kelvington,CA,2020-10-23 18:01:33,52.17,-103.53,20.19,90,30,10.47
195,Guerrero Negro,MX,2020-10-23 18:01:33,27.98,-114.06,73.22,58,37,10.98
196,Novoselitskoye,RU,2020-10-23 17:57:04,44.75,43.44,50.0,66,46,6.71
197,Pisco,PE,2020-10-23 18:01:34,-13.7,-76.22,68.0,72,20,11.41
198,Dibombari,CM,2020-10-23 18:01:34,4.18,9.66,76.93,86,85,3.98
